"DC","S1","E4","139","S1-E4","1","","402","02",
"DC","S1","E8","139","S1-E8","1","","402","02",
"DC","S1","E9","139","S1-E9","1","","402","03",
"DC","S1","F1","336","S1-E1","1","","402","02",
"DC","S1","F10","319","S1-E10","1","","402","03",
"DC","S1","F11","265","S1-E11","1","","402","04",
"DC","S1","F2","266","S1-E2","1","","402","04",
"DC","S1","F3","319","S1-E3","1","","402","03",
"DC","S1","F4","336","S1-E4","1","","402","02",
"DC","S1","F8","336","S1-E8","1","","402","02",
"DC","S1","F9","319","S1-E9","1","","402","03",
"DC","S1","G1","160","S1-G1","1","","402","03",
"DC","S1","G10","160","S1-G10","1","","402","04",
"DC","S1","G11","160","S1-G11","1","","402","03",
"DC","S1","G2","160","S1-G2","1","","402","02",
"DC","S1","G3","160","S1-G3","1","","402","02",
"DC","S1","G4","160","S1-G4","1","","402","04",
"DC","S1","G8","160","S1-G8","1","","402","03",
"DC","S1","G9","160","S1-G9","1","","402","02",
"DC","S1","H1","320","S1-G1","1","","402","03",
"DC","S1","H10","323","S1-G10","1","","402","04",
"DC","S1","H11","320","S1-G11","1","","402","03",
"DC","S1","H2","331","S1-G2","1","","402","02",
"DC","S1","H3","331","S1-G3","1","","402","02",
"DC","S1","H4","323","S1-G4","1","","402","04",
"DC","S1","H8","320","S1-G8","1","","402","03",
"DC","S1","H9","331","S1-G9","1","","402","02",
"DC","S11","1","172","S11-1","1","","405","01",
"DC","S11","2","LTEST12P","S11-1","1","","405","01",
"DC","S11","3","174","S11-3","1","","405","01",
"DC","S11","4","LTEST12N","S11-3","1","","405","01",
"DC","S2","1","330","S2-1","1","","402","01",
"DC","S2","2","106","S2-1","1","","402","01",
"DC","S2","3","335","S2-3","1","","402","01",
"DC","S2","4","123","S2-3","1","","402","01",
"DC","S2","5","174","S2-5","1","","405","01",
"DC","S2","6","189","S2-5","1","","405","01",
"DC","S3","1","104","S3-1","0","","401","01",
"DC","S3","2","105","S3-1","0","","401","01",
"DC","S3","3","121","S3-3","0","","401","01",
"DC","S3","4","122","S3-3","0","","401","01",
"DC","S3","5","140","S3-5","0","","401","01",
"DC","S3","6","141","S3-5","0","","401","01",
"DC","S3","7","161","S3-7","0","","401","01",
"DC","S3","8","162","S3-7","0","","401","01",
"DC","S4","1","336","S4-1","1","","402","02",
"DC","S4","2","142","S4-1","1","","402","02",
"DC","S4","3","331","S4-3","1","","402","02",
"DC","S4","4","163","S4-3","1","","402","02",
"DC","S4","5","174","S4-5","1","","405","02",
"DC","S4","6","44","S4-5","1","","405","02",
"DC","S5","1","322","S5-1","1","","402","04",
"DC","S5","10","187","S5-9","1","","405","04",
"DC","S5","11","174","S5-11","1","","405","04",
"DC","S5","12","187","S5-11","1","","405","04",
"DC","S5","13","215","S5-13","1","","402","04",
"DC","S5","14","2701","S5-13","1","","402","04",
"DC","S5","2","125","S5-1","1","","402","04",
"DC","S5","3","322","S5-3","1","","402","04",
"DC","S5","4","126","S5-3","1","","402","04",
"DC","S5","5","323","S5-5","1","","402","04",
"DC","S5","6","165","S5-5","1","","402","04",
"DC","S5","7","323","S5-7","1","","402","04",
"DC","S5","8","166","S5-7","1","","402","04",
"DC","S5","9","174","S5-9","1","","405","04",
"DC","S6","1","318","S6-1","1","","402","03",
"DC","S6","10","167","S6-9","1","","402","03",
"DC","S6","11","320","S6-11","1","","402","03",
"DC","S6","12","168","S6-11","1","","402","03",
"DC","S6","13","174","S6-13","1","","405","03",
"DC","S6","14","188","S6-13","1","","405","03",
"DC","S6","15","174","S6-15","1","","405","03",
"DC","S6","16","188","S6-15","1","","405","03",
"DC","S6","2","128","S6-1","1","","402","03",
"DC","S6","3","318","S6-3","1","","402","03",
"DC","S6","4","129","S6-3","1","","402","03",
"DC","S6","5","319","S6-5","1","","402","03",
"DC","S6","6","149","S6-5","1","","402","03",
"DC","S6","7","319","S6-7","1","","402","03",
"DC","S6","8","150","S6-7","1","","402","03",
"DC","S6","9","320","S6-9","1","","402","03",
"DC","S7","C","189","S7A","1","","405","01",
"DC","S7","NO","191","S7A","1","","405","01",
"DC","S8","C","44","S8A","1","","405","02",
"DC","S8","NO","45","S8A","1","","405","02",
"DC","S9","C","260","S9A","1","","402","05",
"DC","S9","NO","211","S9A","1","","402","05",
"DC","SP1","1","174","SP1","1","","406","01",
"DC","SP1","2","270","SP1","1","","406","01",
"DC","TB11","07","269","X1107","","","406","01",
"DC","TB11","1","172","X1101","","","405","01",
"DC","TB11","10","269","X1110","","","406","01",
"DC","TB11","11","269","X1111","","","406","01",
"DC","TB11","11","269","X1111","","","406","01",
"DC","TB11","2","172","X1102","","","405","01",
"DC","TB11","3","172","X1103","","","405","01",
"DC","TB11","4","172","X1104","","","405","01",
"DC","TB11","4","172","X1104","","","405","02",
"DC","TB11","5","172","X1105","","","405","01",
"DC","TB11","6","172","X1106","","","405","01",
"DC","TB11","7","269","X1107","","","406","01",
"DC","TB11","8","269","X1108","","","406","01",
"DC","TB11","9","269","X1109","","","406","01",
"DC","TB5","17","131","X0417","","","405","01",
"DC","TB7","1","211","X0701","","","402","05",
"DC","TB7","2","112","X0702","","","402","05",
"DC","TB7","3","136","X0703","","","402","05",
"DC","TB7","8","218","X0708","","","401","01",
"DC","TB7","9","219","X0709","","","401","01",
"DC","TB8","1","102","X0801","","","402","01",
"DC","TB8","10","226","X0810","","","402","01",
"DC","TB8","11","230","X0811","","","402","02",
"DC","TB8","12","232","X0812","","","402","02",
"DC","TB8","13","LTEST12N","X0813","","","405","01",
"DC","TB8","14","LTEST12N","X0814","","","405","01",
"DC","TB8","15","LTEST12N","X0815","","","405","01",
"DC","TB8","16","LTEST12N","X0816","","","405","01",
"DC","TB8","17","LTEST12N","X0817","","","405","01",
"DC","TB8","18","LTEST12N","X0818","","","405","01",
"DC","TB8","2","LTEST12N","X0802","","","402","01",
"DC","TB8","3","119","X0803","","","402","01",
"DC","TB8","4","LTEST12N","X0804","","","402","01",
"DC","TB8","5","139","X0805","","","402","02",
"DC","TB8","6","LTEST12N","X0806","","","402","02",
"DC","TB8","7","160","X0807","","","402","02",
"DC","TB8","8","LTEST12N","X0808","","","402","02",
"DC","TB8","9","226","X0809","","","402","01",
"DC","TB9","1","241","X0901","","","402","01",
"DC","TB9","10","LTEST12P","X0910","","","402","01",
"DC","TB9","11","LTEST12P","X0911","","","402","02",
"DC","TB9","12","LTEST12P","X0912","","","402","02",
"DC","TB9","13","246","X0913","","","405","01",
"DC","TB9","14","247","X0914","","","405","01",
"DC","TB9","15","248","X0915","","","405","01",
"DC","TB9","16","131","X0916","","","405","01",
"DC","TB9","17","249","X0917","","","405","01",
"DC","TB9","18","179","X0918","","","405","01",
"DC","TB9","19","180","X0919","","","405","02",
"DC","TB9","19","LTEST12N","X0819","","","405","02",
"DC","TB9","2","241","X0902","","","402","01",
"DC","TB9","3","242","X0903","","","402","01",
"DC","TB9","4","242","X0904","","","402","01",
"DC","TB9","5","243","X0905","","","402","02",
"DC","TB9","6","243","X0906","","","402","02",
"DC","TB9","7","244","X0907","","","402","02",
"DC","TB9","8","244","X0908","","","402","02",
"DC","TB9","9","LTEST12P","X0909","","","402","01",
"DC","VPC2-03","1","304","VPC2-03","0","","406","01",
"DC","VPC2-04","1","305","VPC2-04","0","","406","01",
"DC","VPC2-07","1","308","VPC2-07","0","","406","01",
"DC","VPC2-12","1","309","VPC2-12","0","","406","01",
"DC","VPC2-14","1","310","VPC2-14","0","","406","01",
"DC","VPC2-16","1","311","VPC2-16","0","","406","01",
"DC","VPC2-17","1","303","VPC2-17","0","","406","01",
"DC","VPC2-18","1","269","VPC2-18","0","","406","01",
"DC","XPC1","23","128","XPC123","","","402","03",
"DC","XPC1","27","149","XPC127","","","402","03",
"DC","XPC1","30","167","XPC130","","","402","03",
"DC","ZPC1-19","A","236","ZPC1-19","8.2","","402","01",
"DC","ZPC1-19","K","0","ZPC1-19","8.2","","402","01",
"DC","ZPC1-20","A","238","ZPC1-20","8.2","","402","01",
"DC","ZPC1-20","K","0","ZPC1-20","8.2","","402","01",
"DC","ZPC1-21","A","260","ZPC1-21","8.2","","402","01",
"DC","ZPC1-21","K","0","ZPC1-21","8.2","","402","01",
"ITB","R401-01-01","1-4","105","R401-01-01","0.01","*DC","401","01",
"ITB","R401-01-01","6-4","468","R401-01-01","0.01","*SCR1","401","01",
"ITB","R401-01-02","1-3","104","R401-01-02","0.01","*DC","401","01",
"ITB","R401-01-02","6-3","249","R401-01-02","0.01","*SCR1","401","01",
"ITB","R401-01-03","2-4","122","R401-01-03","0.01","*DC","401","01",
"ITB","R401-01-03","6-4","453","R401-01-03","0.01","*SCR2","401","01",
"ITB","R401-01-04","2-3","121","R401-01-04","0.01","*DC","401","01",
"ITB","R401-01-04","6-3","361","R401-01-04","0.01","*SCR2","401","01",
"ITB","R401-01-05","3-4","141","R401-01-05","0.01","*DC","401","01",
"ITB","R401-01-05","6-4","469","R401-01-05","0.01","*SCR3","401","01",
"ITB","R401-01-06","3-3","140","R401-01-06","0.01","*DC","401","01",
"ITB","R401-01-06","6-3","362","R401-01-06","0.01","*SCR3","401","01",
"ITB","R401-01-07","4-4","162","R401-01-07","0.01","*DC","401","01",
"ITB","R401-01-07","6-4","467","R401-01-07","0.01","*SCR4","401","01",
"ITB","R401-01-08","4-3","161","R401-01-08","0.01","*DC","401","01",
"ITB","R401-01-08","6-3","363","R401-01-08","0.01","*SCR4","401","01",
"ITB","R401-01-09","1-15","SCR1-01","R401-01-09","0.01","*DC","401","01",
"ITB","R401-01-09","6-15","131","R401-01-09","0.01","*SCR1","401","01",
"ITB","R401-01-10","1-16","SCR1-02","R401-01-10","0.01","*DC","401","01",
"ITB","R401-01-10","6-16","0","R401-01-10","0.01","*SCR1","401","01",
"ITB","R401-01-11","2-15","132","R401-01-11","0.01","*DC","401","01",
"ITB","R401-01-11","6-15","131","R401-01-11","0.01","*SCR2","401","01",
"ITB","R401-01-12","2-16","0","R401-01-12","0.01","*DC","401","01",
"ITB","R401-01-12","6-16","452","R401-01-12","0.01","*SCR2","401","01",
"ITB","R401-01-13","3-15","135","R401-01-13","0.01","*DC","401","01",
"ITB","R401-01-13","6-15","131","R401-01-13","0.01","*SCR3","401","01",
"ITB","R401-01-14","3-16","0","R401-01-14","0.01","*DC","401","01",
"ITB","R401-01-14","6-16","454","R401-01-14","0.01","*SCR3","401","01",
"ITB","R401-01-15","4-15","169","R401-01-15","0.01","*DC","401","01",
"ITB","R401-01-15","6-15","131","R401-01-15","0.01","*SCR4","401","01",
"ITB","R401-01-16","4-16","0","R401-01-16","0.01","*DC","401","01",
"ITB","R401-01-16","6-16","456","R401-01-16","0.01","*SCR4","401","01",
"ITB","R401-01-17","81-1","373","R401-01-17","0.01","*MCC","401","01",
"ITB","R401-01-17","81-1","377","R401-01-17","0.01","*SCR2","401","01",
"ITB","R401-01-18","81-2","373","R401-01-18","0.01","*MCC","401","01",
"ITB","R401-01-18","81-2","441","R401-01-18","0.01","*SCR4","401","01",
"ITB","R401-01-19","81-3","154","R401-01-19","0.01","*SCR1","401","01",
"ITB","R401-01-19","81-3","445","R401-01-19","0.01","*SCR2","401","01",
