"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"ITB","R402-01-06","1-20","116","R402-01-06","0.01","*DC",
"ITB","R402-01-06","6-20","0","R402-01-06","0.01","*SCR1",
"ITB","R402-01-07","1-6","107","R402-01-07","0.01","*DC",
"ITB","R402-01-07","6-6","125","R402-01-07","0.01","*SCR1",
"ITB","R402-01-08","2-2","119","R402-01-08","0.01","*DC",
"ITB","R402-01-08","6-2","235","R402-01-08","0.01","*SCR2",
"ITB","R402-01-09","2-5","123","R402-01-09","0.01","*DC",
"ITB","R402-01-09","6-5","306","R402-01-09","0.01","*SCR2",
"ITB","R402-01-10","2-1","118","R402-01-10","0.01","*DC",
"ITB","R402-01-10","6-1","153","R402-01-10","0.01","*SCR2",
"ITB","R402-01-11","2-20","212","R402-01-11","0.01","*DC",
"ITB","R402-01-11","6-20","0","R402-01-11","0.01","*SCR2",
"ITB","R402-01-12","2-6","124","R402-01-12","0.01","*DC",
"ITB","R402-01-12","6-6","125","R402-01-12","0.01","*SCR2",
"ITB","R402-02-01","3-2","139","R402-02-01","0.01","*DC",
"ITB","R402-02-01","6-2","235","R402-02-01","0.01","*SCR3",
"ITB","R402-02-02","3-5","142","R402-02-02","0.01","*DC",
"ITB","R402-02-02","6-5","312","R402-02-02","0.01","*SCR3",
"ITB","R402-02-03","3-1","137","R402-02-03","0.01","*DC",
"ITB","R402-02-03","6-1","153","R402-02-03","0.01","*SCR3",
"ITB","R402-02-04","3-20","136","R402-02-04","0.01","*DC",
"ITB","R402-02-04","6-20","0","R402-02-04","0.01","*SCR3",
"ITB","R402-02-05","3-6","143","R402-02-05","0.01","*DC",
"ITB","R402-02-05","6-6","122","R402-02-05","0.01","*SCR3",
"ITB","R402-02-06","4-2","160","R402-02-06","0.01","*DC",
"ITB","R402-02-06","6-2","235","R402-02-06","0.01","*SCR4",
"ITB","R402-02-07","4-5","163","R402-02-07","0.01","*DC",
"ITB","R402-02-07","6-5","197","R402-02-07","0.01","*SCR4",
"ITB","R402-02-08","4-5","197","R402-02-08","0.01","*SCR4",
"ITB","R402-02-08","4-5","291","R402-02-08","0.01","*SCR3",
"ITB","R402-02-09","4-6","288","R402-02-09","0.01","*SCR4",
"ITB","R402-02-09","4-6","290","R402-02-09","0.01","*SCR3",
"ITB","R402-02-10","4-1","158","R402-02-10","0.01","*DC",
"ITB","R402-02-10","6-1","153","R402-02-10","0.01","*SCR4",
"ITB","R402-02-11","4-20","157","R402-02-11","0.01","*DC",
"ITB","R402-02-11","6-20","0","R402-02-11","0.01","*SCR4",
"ITB","R402-02-12","4-6","164","R402-02-12","0.01","*DC",
"ITB","R402-02-12","6-6","125","R402-02-12","0.01","*SCR4",
"ITB","R402-03-01","2-11","128","R402-03-01","0.01","*DC",
"ITB","R402-03-01","6-11","282","R402-03-01","0.01","*SCR2",
"ITB","R402-03-02","4-21","275","R402-03-02","0.01","*SCR3",
"ITB","R402-03-02","4-24","282","R402-03-02","0.01","*SCR2",
"ITB","R402-03-03","4-23","280","R402-03-03","0.01","*SCR3",
"ITB","R402-03-03","4-26","284","R402-03-03","0.01","*SCR2",
"ITB","R402-03-04","2-12","129","R402-03-04","0.01","*DC",
"ITB","R402-03-04","6-12","283","R402-03-04","0.01","*SCR2",
"ITB","R402-03-05","4-22","276","R402-03-05","0.01","*SCR3",
"ITB","R402-03-05","4-25","283","R402-03-05","0.01","*SCR2",
"ITB","R402-03-06","2-13","130","R402-03-06","0.01","*DC",
"ITB","R402-03-06","6-13","130","R402-03-06","0.01","*SCR2",
"ITB","R402-03-07","2-14","239","R402-03-07","0.01","*DC",
"ITB","R402-03-07","6-14","128","R402-03-07","0.01","*SCR2",
"ITB","R402-03-08","4-4","173","R402-03-08","0.01","*SCR4",
"ITB","R402-03-08","4-4","268","R402-03-08","0.01","*SCR3",
"ITB","R402-03-09","4-2","173","R402-03-09","0.01","*SCR2",
"ITB","R402-03-09","4-2","260","R402-03-09","0.01","*SCR3",
"ITB","R402-03-10","3-11","149","R402-03-10","0.01","*DC",
"ITB","R402-03-10","6-11","319","R402-03-10","0.01","*SCR3",
"ITB","R402-03-11","3-12","150","R402-03-11","0.01","*DC",
"ITB","R402-03-11","6-12","317","R402-03-11","0.01","*SCR3",
"ITB","R402-03-12","3-13","151","R402-03-12","0.01","*DC",
"ITB","R402-03-12","6-13","130","R402-03-12","0.01","*SCR3",
"ITB","R402-03-13","3-14","154","R402-03-13","0.01","*DC",
"ITB","R402-03-13","6-14","128","R402-03-13","0.01","*SCR3",
"ITB","R402-03-14","4-11","167","R402-03-14","0.01","*DC",
"ITB","R402-03-14","6-11","267","R402-03-14","0.01","*SCR4",
"ITB","R402-03-15","4-12","168","R402-03-15","0.01","*DC",
"ITB","R402-03-15","6-12","268","R402-03-15","0.01","*SCR4",
"ITB","R402-03-16","4-13","151","R402-03-16","0.01","*DC",
"ITB","R402-03-16","6-13","130","R402-03-16","0.01","*SCR4",
"ITB","R402-03-17","4-14","154","R402-03-17","0.01","*DC",
"ITB","R402-03-17","6-14","128","R402-03-17","0.01","*SCR4",
"ITB","R402-03-18","4-18","267","R402-03-18","0.01","*SCR4",
"ITB","R402-03-18","4-24","277","R402-03-18","0.01","*SCR3",
"ITB","R402-03-19","4-19","268","R402-03-19","0.01","*SCR4",
"ITB","R402-03-19","4-25","278","R402-03-19","0.01","*SCR3",
